"gene_names","genes","match","rank"
"FBgn0264270__Sxl","FBgn0264270","1",266
"FBgn0035510__Cpr64Aa","FBgn0035510","0",267
"FBgn0033958__jef","FBgn0033958","0",268
"FBgn0036581__MED10","FBgn0036581","0",269
"FBgn0040823__dpr6","FBgn0040823","1",270
"FBgn0259935__CG42458","FBgn0259935","0",271
"FBgn0015622__Cnx99A","FBgn0015622","1",272
"FBgn0262509__nrm","FBgn0262509","0",273
"FBgn0038879__CG17298","FBgn0038879","0",274
"FBgn0029710__CG3568","FBgn0029710","0",275
"FBgn0260635__Diap1","FBgn0260635","1",276
"FBgn0041605__cpx","FBgn0041605","1",277
"FBgn0030804__CG13002","FBgn0030804","0",278
"FBgn0261822__Bsg","FBgn0261822","1",279
"FBgn0020299__stumps","FBgn0020299","0",280
"FBgn0005586__Rab3","FBgn0005586","0",281
"FBgn0038134__wntD","FBgn0038134","0",282
"FBgn0085414__dpr12","FBgn0085414","0",283
"FBgn0033869__Cpr50Cb","FBgn0033869","0",284
"FBgn0011288__Snap25","FBgn0011288","1",285
"FBgn0039886__CG2003","FBgn0039886","0",286
"FBgn0004619__GluRIA","FBgn0004619","1",287
"FBgn0030830__CG5172","FBgn0030830","0",288
"FBgn0031424__VGlut","FBgn0031424","0",289
"FBgn0047334__BG642312","FBgn0047334","0",290
"FBgn0040324__Ephrin","FBgn0040324","0",291
"FBgn0034231__APC10","FBgn0034231","0",292
"FBgn0033911__VGAT","FBgn0033911","1",293
"FBgn0004577__Pxd","FBgn0004577","0",294
"FBgn0033308__CG8736","FBgn0033308","0",295
"FBgn0015025__CkIIalpha-i1","FBgn0015025","1",296
"FBgn0039584__beat-VI","FBgn0039584","0",297
"FBgn0036805__Chmp1","FBgn0036805","0",298
"FBgn0028983__Spn55B","FBgn0028983","1",299
"FBgn0036934__sNPF-R","FBgn0036934","0",300
"FBgn0026015__Top3beta","FBgn0026015","1",301
"FBgn0038180__Cht5","FBgn0038180","0",302
"FBgn0031497__SerRS","FBgn0031497","0",303
"FBgn0029837__Tsp5D","FBgn0029837","0",304
"FBgn0040097__lectin-30A","FBgn0040097","0",305
"FBgn0266083__ocm","FBgn0266083","0",306
"FBgn0051140__CG31140","FBgn0051140","0",307
"FBgn0263354__CG42784","FBgn0263354","0",308
"FBgn0038275__CG3817","FBgn0038275","0",309
"FBgn0032122__CG31883","FBgn0032122","0",310
"FBgn0039538__CG12883","FBgn0039538","0",311
"FBgn0037603__Sys1","FBgn0037603","0",312
"FBgn0039563__CG4951","FBgn0039563","0",313
"FBgn0287184__FASN3","FBgn0287184","0",314
"FBgn0260766__CG42564","FBgn0260766","0",315
"FBgn0285925__Fas1","FBgn0285925","0",316
"FBgn0259223__CG42323","FBgn0259223","0",317
"FBgn0027279__l(1)G0196","FBgn0027279","1",318
"FBgn0030932__Ggt-1","FBgn0030932","0",319
"FBgn0039067__wda","FBgn0039067","1",320
"FBgn0032292__EMC3","FBgn0032292","1",321
"FBgn0000308__chic","FBgn0000308","1",322
"FBgn0053337__CG33337","FBgn0053337","0",323
"FBgn0051324__Cipc","FBgn0051324","0",324
"FBgn0052107__CG32107","FBgn0052107","1",325
"FBgn0260486__Ziz","FBgn0260486","1",326
"FBgn0031110__Obp19b","FBgn0031110","0",327
"FBgn0040395__Unc-76","FBgn0040395","1",328
"FBgn0037949__prd1","FBgn0037949","1",329
"FBgn0010877__l(3)05822","FBgn0010877","1",330
"FBgn0052016__4E-T","FBgn0052016","1",331
"FBgn0259239__CG42337","FBgn0259239","0",332
"FBgn0260859__Bet3","FBgn0260859","0",333
"FBgn0038313__CG4338","FBgn0038313","0",334
"FBgn0051221__CG31221","FBgn0051221","0",335
"FBgn0287186__scro","FBgn0287186","0",336
"FBgn0038292__CG3987","FBgn0038292","0",337
"FBgn0014163__fax","FBgn0014163","1",338
"FBgn0001291__Jra","FBgn0001291","1",339
"FBgn0039932__fuss","FBgn0039932","1",340
"FBgn0020620__RN-tre","FBgn0020620","0",341
"FBgn0020372__TM4SF","FBgn0020372","0",342
"FBgn0020762__Atet","FBgn0020762","1",343
"FBgn0051097__CG31097","FBgn0051097","0",344
"FBgn0034326__CG18540","FBgn0034326","0",345
"FBgn0034214__CG6550","FBgn0034214","1",346
"FBgn0052364__tut","FBgn0052364","0",347
"FBgn0002440__l(3)mbn","FBgn0002440","1",348
"FBgn0039452__CG14245","FBgn0039452","0",349
"FBgn0042693__wrd","FBgn0042693","0",350
"FBgn0040370__CG13375","FBgn0040370","0",351
"FBgn0035989__Atat","FBgn0035989","0",352
"FBgn0039481__Cpr97Eb","FBgn0039481","0",353
"FBgn0261649__tinc","FBgn0261649","0",354
"FBgn0266706__lncRNA:CR45196","FBgn0266706","0",355
"FBgn0000500__Dsk","FBgn0000500","0",356
"FBgn0267790__rump","FBgn0267790","1",357
"FBgn0000546__EcR","FBgn0000546","1",358
"FBgn0053543__CG33543","FBgn0053543","0",359
"FBgn0262855__CG43219","FBgn0262855","0",360
"FBgn0263260__sel","FBgn0263260","0",361
"FBgn0010905__Spn","FBgn0010905","1",362
"FBgn0051774__fred","FBgn0051774","0",363
"FBgn0262722__lncRNA:CR43166","FBgn0262722","0",364
"FBgn0264750__CG44008","FBgn0264750","0",365
"FBgn0035538__DopEcR","FBgn0035538","1",366
"FBgn0040388__boi","FBgn0040388","1",367
"FBgn0029766__CG15784","FBgn0029766","0",368
"FBgn0004865__Eip78C","FBgn0004865","0",369
"FBgn0037064__CG9389","FBgn0037064","0",370
"FBgn0032704__Jwa","FBgn0032704","1",371
